PCA1,PCA2,PCA3,PCA4,PCA5,PCA6,PCA7,PCA8,PCA9,PCA10,PCA11,PCA12,PCA13,PCA14,PCA15,PCA16,PCA17,PCA18,PCA19,PCA20,PCA21,PCA22,PCA23,PCA24,PCA25,PCA26,PCA27,PCA28,PCA29,PCA30,PCA31,PCA32,PCA33
-21.135595,-2.2516594,8.31113,0.05884831,-7.312164,1.4664364,0.36538523,-9.520659,1.3504932,-4.8887715,2.0133824,-1.659427,-2.5358377,-1.6242337,-1.9069191,-1.7853557,-0.24481039,0.032106496,0.17635423,0.9342351,-0.060945638,2.0217102,-0.37847105,-0.18185477,-0.2889348,-0.5137963,-0.9633891,-0.5058898,-0.60686696,-2.1775284,-0.41899222,9.399478,-3.0341327
-19.70153,0.9181425,12.474399,3.5082538,-2.678262,4.690446,4.247841,-7.7401705,2.166133,-1.2705896,2.4694278,-0.5029939,-0.7079128,-0.3792537,0.81097436,-1.2863976,0.20802674,1.5761434,1.041997,1.8826475,0.005462304,2.252652,1.2968198,1.390513,0.17922355,0.18826416,-0.35541424,-0.09843717,-0.9074387,-0.6636695,1.5778321,12.672483,-1.8188668
-20.946217,-1.9865878,6.72477,0.0015684412,-10.877233,0.7768554,0.34572136,-10.186366,1.8630782,-6.1065564,2.3613272,-1.7427115,-2.5369933,-2.8202677,-3.1786397,-2.160306,-0.28716868,-0.21604657,0.30504835,0.6447539,0.20464158,3.004269,-0.35392514,-0.18424818,-0.43198112,-0.45831174,-1.2933986,1.344367,2.0215175,-2.6684146,-0.3171768,14.758145,-2.719871
-21.276518,-2.4354756,7.692507,0.57845414,-9.130317,6.7501063,4.1307607,-25.994432,3.431041,-5.876175,6.198619,-4.501847,-6.5680323,-3.6485353,-0.07295542,-4.7029543,-1.2593416,1.057821,1.1440467,1.6562432,0.28831157,3.204188,0.7932793,1.035669,-1.6854988,-0.42726588,-1.6404638,-1.614145,-3.1571867,-3.835315,0.02249516,5.201164,-4.815591
-22.29549,-0.6794477,5.104408,-3.2291257,-26.247421,-2.5015604,-3.9640057,-6.6185246,2.531725,-11.993774,0.3948451,-0.6638054,-0.8904686,-2.0287843,-12.518867,-2.3383117,-0.173256,-3.5043485,1.8686488,-0.5967403,5.802333,4.5961723,-2.6533635,-2.981894,2.2748613,-1.5646918,-3.68787,6.868887,11.482697,-4.3914313,-1.8994048,40.215137,-2.7037508
-22.924305,-0.08484399,8.010631,3.4719768,-7.465349,2.0313013,2.4185383,-8.24126,2.0225394,-4.0177913,2.1157358,-1.316242,-2.038157,-1.6292653,-1.3777734,-1.8061229,-0.082466654,0.02623465,0.7229437,1.0683274,0.43625385,2.2660565,-0.16142991,0.3511363,-0.45972335,-0.3089507,-0.8879795,0.44391674,-0.21268804,-2.1419644,0.5272914,13.011905,-2.4014747
-24.19173,0.66417754,2.9061117,0.32773295,-10.088264,-2.2906845,-2.1371462,1.0336461,0.09541176,-4.96088,-2.1596177,0.076855555,0.19950199,-0.5293873,-4.7459574,-0.90241146,0.06062915,-1.5987517,0.32742867,0.176291,1.6203578,1.3869524,-1.1112362,-1.4926695,0.25815323,-0.69850737,-1.6604288,2.3587506,3.085776,-1.967879,-0.30192682,20.082392,-2.693253
-19.815092,-2.3501108,7.271213,-0.652219,-12.323592,1.61311,1.0859436,-7.6800327,2.217742,-6.681915,2.5873253,-0.9375571,-1.8140639,-1.809852,-4.751156,-2.2477725,-0.09061619,-0.5755028,0.6871028,0.491765,1.4789768,3.1086724,-0.86326766,-0.5277387,0.3460803,-0.8404298,-1.6242137,1.3565441,1.9499596,-2.467791,-0.71987635,18.62421,-2.5458894
-25.667673,0.08412526,4.754663,3.9950867,-15.962535,7.388091,5.433673,-22.313965,4.8113103,-7.794581,7.5656796,-4.079176,-6.322707,-4.469749,-2.6646614,-4.844922,-0.9921012,0.53109545,1.462351,1.3196728,1.3428909,4.7281003,0.56650263,0.3961433,-1.3953375,-0.7620358,-2.453523,0.4815338,-0.54199255,-5.0177593,0.44261315,15.719118,-4.858714
-20.762793,1.2262807,8.953941,2.14016,-5.313515,0.22433995,0.025680728,-2.1200218,1.2247097,-1.5117626,0.6879856,0.3370781,0.57591784,0.570986,-1.3593814,0.38380933,0.5296885,-0.12680972,0.6683034,1.3782727,1.4508481,1.7591594,0.1509864,0.056070153,0.751583,-0.05181715,0.06366495,1.4251844,1.3206997,0.28685793,0.17616443,17.228981,-2.3258655
-19.076319,-0.94686925,4.4420624,0.34800473,-12.229526,4.133976,2.548015,-19.028759,3.2840614,-6.4966784,4.5770364,-2.323905,-3.468374,-3.021973,-2.4945467,-3.4969227,-0.63235027,0.44162247,1.1362813,1.094996,1.3180827,3.500041,0.18906078,0.2048017,-0.5739814,-0.81123567,-1.8976991,0.47482198,0.31496537,-3.7817852,0.20017855,14.969872,-3.327275
-24.245321,-0.18419151,6.100635,1.7981037,-5.2336493,5.284121,3.8583593,-14.977055,2.121779,-2.724746,3.3328893,-2.9329946,-3.9585927,-1.6824876,0.3080947,-3.0008304,-0.66350484,0.9907268,0.5392576,1.6480296,-0.34347534,1.6838944,1.0279483,1.6262155,-0.99806106,-0.09453226,-1.1111478,-2.3420994,-3.9739866,-2.6826823,0.5832584,4.0230336,-3.7968783
-12.065093,2.5084176,8.972002,2.7863798,1.0756177,7.014197,5.4584985,-16.766867,3.2577329,0.6338566,4.737207,-3.0703695,-4.4346495,-2.1056488,3.6449685,-2.6418405,-0.5077783,2.0564992,0.5840095,1.9134829,-1.3403498,2.5118306,2.1869342,1.7667133,-0.75563926,0.40547785,-0.16628678,-1.6665556,-2.912018,-1.8323766,2.2873027,0.48286426,-2.8612154
-22.33647,-3.4825974,9.292428,1.4682932,-19.67648,3.4414496,2.437419,-18.543602,3.8392725,-8.455206,4.954904,-2.4707596,-3.8778403,-3.472612,-5.5841117,-3.9570653,-0.85885304,-0.6520148,1.5082722,0.4618184,2.5745156,5.209709,-0.30695793,0.117932804,0.25880706,-0.82574886,-3.0213206,3.0549865,4.148003,-4.8639264,-0.8181783,24.1226,-3.4262407
-25.20784,-2.6411252,4.451615,-0.18898849,-18.791159,0.9154772,0.58358365,-13.002266,2.3951902,-10.178586,1.9762021,-2.0205882,-3.7431378,-3.6169655,-6.2206244,-3.822261,-0.8719946,-1.1978521,0.9993719,0.080412805,2.1884627,3.4281054,-1.0045431,-0.77970386,-0.39231065,-1.2125908,-3.0226326,1.6283598,3.0018425,-3.8382487,-0.9675944,20.463987,-3.1854684
-16.925373,0.51880115,9.427139,0.7907268,-0.66318566,1.5816808,1.173395,-6.039939,0.7094219,-1.6595852,0.7915532,-0.64278334,-0.6340732,-0.36738172,1.0702044,-0.9456031,0.14066184,0.6138755,-0.25040907,1.0000412,-0.5382097,1.2684162,0.46864954,0.7696487,-0.44493768,-0.25551054,-0.3150903,-0.81403035,-1.873106,-0.8596997,0.897389,2.856284,-1.6984818
-25.79241,0.6115865,4.9407673,2.099723,-9.050702,4.931128,3.6950548,-16.9567,3.107348,-4.948647,5.469578,-3.501927,-4.7842293,-2.3649256,-1.2280815,-3.8089993,-0.590219,0.5281232,1.0721837,1.5528648,0.82205313,3.1441293,1.01505,1.2117716,-1.1181554,-0.32287726,-1.6131296,-0.2366028,-1.1382921,-3.3865063,0.5935023,13.309639,-4.15355
-24.871655,-0.2008841,5.5109615,-1.4998418,-5.7289677,-1.0592161,0.1526096,-0.18214363,0.30424196,-3.6311417,-0.46082512,0.40047818,-0.5303262,0.15248346,-2.9028697,-0.8112709,0.4000007,-0.61731833,-0.13288018,0.19685382,0.73959595,1.7006975,-0.8572081,-0.2693431,-0.05516163,-0.12331481,-1.2625253,0.8251753,1.2484723,-0.6062582,0.45661804,15.628478,-2.0252984
-27.150612,-0.81041414,2.285351,-0.28263405,-13.600726,-3.0096433,-0.72922915,1.8496912,0.3092901,-5.7234993,-1.6014036,0.40583682,-0.89096767,-0.48219323,-6.970885,-1.1725403,-0.07253066,-2.363283,0.2513074,-0.395982,2.093322,1.652634,-1.883378,-1.7452024,0.55150104,-0.48127717,-1.9387479,2.1859944,4.1129446,-1.9065871,-0.83523244,19.405884,-1.9624865
-17.894457,0.47359192,6.774015,1.4149411,-9.102045,4.6948256,3.91219,-11.290668,2.8446877,-5.1940393,3.7099018,-2.0647218,-3.8362243,-2.6252897,-1.8064122,-2.3467438,-0.3684506,0.6160782,0.5753155,0.86876434,0.22301674,3.3838391,0.19337295,0.55125004,-0.24572691,-0.479695,-1.4841374,-0.12730463,-0.07875071,-3.110459,1.04901,8.998301,-2.9932637
-24.072586,-0.96824723,5.8575215,3.3838012,-16.143217,5.505618,4.0793686,-20.29509,4.1409225,-8.137191,4.808454,-3.5626476,-4.9292746,-3.3351061,-3.609447,-4.70178,-1.1161706,0.15884848,1.8239267,1.3655566,1.9090333,4.5321536,0.12324169,0.88087064,-0.62736744,-0.50914496,-2.6425424,1.2745632,1.9480952,-4.266523,-0.1240187,18.532705,-3.5884852
-31.756939,0.39973238,9.407678,0.93534464,-19.847925,-0.6034585,0.08058395,-0.8172093,3.9278421,-7.1895413,4.2309365,0.7674046,0.026358105,-1.3411576,-9.473516,-1.4613365,0.5513389,-2.4669836,2.2398765,-0.045912668,5.6062613,6.049179,-1.7214693,-1.4569143,2.4788857,-0.59585464,-2.5129635,6.0535316,11.275989,-3.3607132,-0.29425132,43.46501,-2.3821604
-26.59809,-2.7916095,3.5305765,0.9660115,-11.811757,-0.28993684,0.14568119,-7.5271964,0.8472998,-5.4632173,0.17790115,-1.4114196,-2.2270486,-1.2034184,-4.7399464,-2.1863058,-0.5386823,-0.9343184,0.27033132,0.4870111,0.9611101,1.4968395,-0.8048556,-0.9562939,-0.35717213,-0.55896884,-1.644052,0.9697054,0.45124412,-2.5846329,-1.1233271,14.637079,-3.3932047
-22.743246,-2.4464674,7.918265,0.22247803,-7.9862466,2.592771,1.4316711,-7.310963,1.8648157,-5.5240693,0.8158423,-1.5994704,-2.3502822,-1.1882328,-3.004797,-2.4123383,-0.3635693,-0.34865823,0.35052386,1.0389404,1.0864701,2.6534104,-0.6511607,-0.19129263,0.1538232,-0.47899526,-1.1079979,0.5863196,1.0700188,-2.5107794,-0.86210126,14.15078,-2.6631768
-23.328758,-1.4601758,6.979032,4.8904424,-13.248869,6.83534,5.7682867,-20.237333,4.522709,-6.512007,6.6746316,-3.5274138,-4.891876,-2.660838,-2.0895975,-4.8065505,-0.9621617,0.6237315,1.5110962,1.5466238,2.123346,4.6756325,0.16653246,0.7227024,-0.25666437,-0.5095218,-2.328592,1.2309728,0.17960897,-4.734845,-0.20718838,17.961473,-3.8503444
-25.27562,-0.48557082,6.559936,0.61288166,-20.962276,3.6045694,2.942713,-15.728281,4.315476,-9.065934,5.7562637,-2.3057086,-3.8816757,-3.0349307,-6.50231,-3.4307048,-0.59021735,-0.77855444,1.9355406,0.76089203,3.381126,4.8237596,-0.9738772,-0.5485464,0.59955966,-1.277004,-2.8392398,3.2161615,4.683306,-5.053559,-0.50265986,30.402771,-3.6528623
-19.368275,-0.7546782,6.108459,-0.5471574,-17.620205,1.0918318,0.28562096,-8.633653,2.440607,-8.293407,1.3336403,-0.62701815,-2.1164308,-2.047258,-6.1878524,-2.5008848,-0.2899851,-1.0303292,1.3906447,0.2660088,2.6476018,3.4806502,-0.8468668,-1.0650872,0.50200796,-1.0140334,-2.470035,2.617349,4.360451,-2.969882,-0.47675,25.473902,-2.82999
-20.714848,-4.4866056,3.3744788,-3.334365,-20.45833,-1.9175608,-1.7787442,-9.3839245,1.9084765,-10.567605,-0.4349918,-1.2906691,-2.8985522,-2.6337183,-8.645212,-3.552479,-0.64360183,-2.0809798,1.0178587,-0.4526951,2.8402293,3.6855776,-1.8518196,-1.9024843,0.5811659,-1.3321767,-3.0317452,3.7814164,6.6081595,-3.8932152,-1.8454145,26.996964,-2.9095416
